GENE_NAME	human.mean
FBXO8	9.5825
CEP44	2.2325
HPGD	0.9975
ASB5	1.1175
C4orf45	0.0725
TMEM144	3.735
PDK2	125.965
TGFBR3	13.52
FAM198B	21.3625
NPY1R	0.6725
NPY5R	0.0475
NAA15	5.46
IL15	1.805
FAM160A1	1.83
ICE1	3.975
HHIP	0.1625
ANAPC10	4.4325
ABCE1	10.855
PRMT9	2.105
ITGA2	0.7675
SLC45A2	0.08
EDIL3	4.065
ELOVL7	0.87
NDUFAF2	25.955
LMBRD2	2.9575
RANBP3L	0.6975
NIPBL	8.6525
SLC25A46	17.48
PGGT1B	4.7625
HES2	0.43
F2RL2	0.3975
CCDC112	2.11
C5orf63	2.43
F2RL1	1.0725
WDR41	8.2525
NEDD4	21.2325
SCGB3A2	4.3125
HTR4	0.5475
ESM1	0.0775
ARSK	1.5375
RHOBTB3	17.65
PIGB	2.1875
SERINC5	2.8525
ENPP6	0.1875
PRIMPOL	3.9925
ERAP1	11.365
CMYA5	372.495
EGFLAM	11.1625
CFAP97	3.3425
TMEM174	0.01
CARTPT	0.0175
RICTOR	4.2275
PAPD4	8.7725
EBF1	5.45
UBLCP1	5.1175
FAM170A	0.065
UTP15	2.09
GNB5	4.74
TLR3	0.7275
KLKB1	1.0125
GFM2	12.735
TERT	0
CCDC127	4.505
ADGRF2	0.05
SEPT8	17.6225
GDF9	0.14
LEAP2	0.9925
SLC35A1	5.57
GRIK2	1.2175
FABP7	0.05
TLX3	0.0075
TXLNB	33.0875
CALHM4	0.035
T	0
CREBRF	5.025
DCBLD1	3.2625
SFXN1	11.99
SAMD3	0.3825
ITGA3	9.9175
TMEM200A	0.1125
IL22RA2	0.0175
DACT2	0.4175
PDSS2	6.53
STXBP5	2.6175
IL31RA	0.05
PI16	14.4675
LRP6	7.3025
TBX20	17.285
DAGLB	5.63
KIAA0895	1.33
STK17A	7.1325
TRA2A	21.035
GALNT10	5.6425
SAP30L	12.9625
HCN1	0.07
MYOZ3	2.045
COG5	13.855
GUCY2C	0.135
NEUROD6	0
BMT2	4.1225
GPR85	0.3325
SLU7	20.5425
CAMLG	10.34
BMPER	1.07
RELL2	0.7425
KCNK5	0.335
KIF6	0.2975
SLC29A4	2.8175
TEX47	0
CDCA7L	11.405
SP8	0
MIOS	7.4275
KIAA1324L	3.0125
USP49	1.07
SYTL3	3.4175
PHRF1	9.67
IQUB	0.105
HEY1	8.7025
ZNF704	9.3225
SHH	0.005
FNDC1	1.45
CHMP4C	0.875
SLC13A4	1.5675
ELP1	10.8875
PGAM2	492.9125
BRI3	113.745
LMTK2	6.025
CTSB	336.33
ADCY1	1.435
SUN3	0
NUCB2	38.26
C7orf57	0.01
HNF4G	0.01
RAD21	38.1925
MED30	4.715
TNFRSF11B	3.0875
SBSPON	0.8725
PHKG1	22.14
EN2	0.03
KCNV1	0.1975
CSMD3	0.165
SPIDR	14.265
ORC5	2.5175
OSGIN2	2.9075
SUN1	64.2575
OXR1	11.0225
PTPN3	23.4275
TMEM74	0.28
GPR146	19.6025
GPER1	2.66
UNCX	0.0075
NOS3	27.5575
MICALL2	10.885
CA3	5.795
SPTB	32.9575
SLC4A2	38.3275
TMUB1	29.1825
GBX1	0.6925
DAPP1	0.315
FZD6	3.6425
CTHRC1	2.125
TP53INP1	3.3325
INTS8	14.6725
VIRMA	10.275
FGF10	1.245
FREM1	1.4875
GEM	8.7325
