GENE_NAME	human.mean
ZPLD1	0.0675
KCNAB3	0.425
GPR37L1	0.0825
TMEM192	5.3725
NSG2	0.2425
SERPINA6	0.015
NIPA1	2.5125
UBE2E1	30.7325
SIK2	9.37
RNF150	17.645
VGLL2	0.335
HOXD4	0.19
XRCC1	12.585
CHRNB1	5
USP38	5.4375
SLC16A5	7.08
ANKK1	0.0825
ADRA1B	0.6225
ADPRM	1.7825
FABP6	1.865
SCARB1	11.6575
PWWP2A	2.8125
USP50	0.01
USP47	19.3425
PDCD6IP	47.72
ZNF212	2.97
FAM161A	0.72
ZNF282	6.5875
CYP2W1	0.04
FAXDC2	12.1775
CRTAP	44.8025
CNGB3	0.03
CMTM8	4.505
MCM2	3.185
STX8	34.24
NFRKB	4.3375
PRDM10	1.675
FOS	103.615
SETMAR	7.32
MOV10L1	0.1375
EMX2	0.3025
SEMA3E	0.1875
LRRN2	1.7925
SLC30A1	2.46
DCLK2	4.7275
GPRC5C	16.93
TMEM182	50.3775
PANX2	0.25
VSTM2A	0.035
KRT78	0.005
ADORA2B	0.7675
METTL7B	8.315
NFXL1	13.6975
SELENOO	17.55
DENND5B	6.17
CD14	18.8775
DNAJC18	4.1325
RIOX1	1.4175
RALGAPB	6.6775
SLC23A1	0.165
TP63	0.1575
NPAS2	29.0725
KISS1	0.0225
LONRF2	3.3425
PFKFB3	15.0275
TMC7	0.9375
CACNG3	0.0025
ALPK1	2.1025
CDH2	97.545
IRX2	3.325
SIX2	1.07
DLGAP1	0.105
NUDCD2	7.5725
LLGL2	3.715
IRF2BP1	13.25
HSPA4	19.7875
FOXA3	0
SLC26A5	0.055
SGCD	20.2
RNF34	17.94
PDE8A	8.525
TRABD	20.105
CAVIN4	12.4475
ZNF296	0.185
HOXB9	0.0075
TTLL6	0.2125
POLH	2.0075
SYT9	0.1075
CLCN4	9.7875
KCNS3	1.96
KIF5B	37.14
GPR37	0.015
AKAP13	99.5325
CDCA4	1.495
SDR16C5	0.0325
DYDC1	0.1925
CHCHD7	17.12
HTRA3	72.055
NLE1	3.3625
FOXN2	2.2475
BFSP2	0.0825
FSHR	0.1075
CEL	1.865
PPM1D	3.06
KBTBD2	12.5925
RIOX2	7.77
KIAA0232	15.3025
MTSS1	13.3325
TMEM43	20.395
RNF139	7.625
RPS9	712.185
CYTL1	0.3675
FNDC8	0.07
TRH	0.01
MSANTD4	5.5825
OSCAR	1.0575
PAQR8	1.2625
TANC2	1.475
PKHD1	0.01
CAVIN3	27.86
DCDC1	0.0425
HAS2	0.89
KDM5A	5.8225
PDGFD	6.655
DDI1	0.0375
HS6ST2	0.18
PYGO1	0.9375
LRRC8E	0.3925
PKIA	71.765
ADAM11	8.3125
OR13H1	0
FEZ2	18.0575
ALK	0.1425
NIPAL3	9.3575
PPP2R3A	25.3925
MTM1	3.1225
INSR	22.0325
MFN1	11.5975
GIMAP8	9.885
NRTN	16.7775
KCNMB3	0.6425
KCNG3	0
PRKCE	3.06
OR2K2	0.06
JAGN1	15.0925
TADA3	24.2875
SOCS5	4.705
MORN4	7.4825
ZNF672	19.96
ZNF692	15.4025
ABCB11	0.0575
NAIF1	2.8325
RBKS	3.9825
GRIK1	0.0175
TRIM8	59.9425
DHRS9	1.2025
NETO2	1.255
SCAND1	32.4225
LRG1	0.8825
SHCBP1	0.65
CD5L	1.04
SOSTDC1	0.1575
NPTX1	0.0075
GAA	33.1425
CANT1	14.9475
KCNK3	1.635
CHST11	2.2575
CHD7	4.51
PTGS2	0.69
LURAP1	2.4675
CLCN5	0.51
KCND3	5.6575
KRT9	0
PDE7B	2.2175
KRT20	0
GLOD5	0
KSR2	0.005
MCC	7.0225
ZBTB26	1.025
MAP3K13	3.12
DSEL	0.5825
POLR1C	10.165
ASXL1	10.13
DLK2	0.595
ZNF318	3.135
WIPF2	8.655
HOPX	6.9125
ST6GAL1	20.185
LRRC8C	3.065
MROH2B	0.0825
OR1N2	0
COL24A1	0.2575
ETFDH	96.5325
RXFP1	0.0175
LPAR3	3
PTGER4	5.72
OTP	0
ECEL1	0.11
BCL2L1	43.0525
FGG	0.21
AP2B1	34.435
PICALM	41.8225
FGB	0.2425
PLRG1	12.7125
DNAI2	0.0425
NMUR1	0.21
CLSTN1	40.73
NSF	4.7425
PIK3CD	2.075
SLC25A33	2.43
ENC1	1.4875
SPSB1	6.41
P2RY6	3.2975
S100Z	0.0175
GPR82	0.2475
GPR34	2.36
ATF7IP	7.8175
RGS19	4.53
TCEA2	45.5
ANO5	13.8875
HDAC3	22.5325
SPATA46	0.165
GPHN	5.725
VAT1L	4.9625
CLASP1	15.6425
TMEM51	2.905
CAMTA1	77.075
LGALS4	0.77
LRRC34	0.6275
PAH	0.025
SPATA5L1	3.2975
GATM	6.95
NXNL1	0.165
RASGRP4	1.1675
MRPS34	70.75
NHLH1	0.03
SLFNL1	0.5025
BCL2	3.0275
RHNO1	2.1175
CTPS1	5.715
KNDC1	0.2375
METTL18	1.7775
COL8A2	0.695
NOTCH3	45.6725
PCDHB1	0
ANGPTL7	1.6175
FBXL14	4.5525
EXOSC10	13.355
MLLT3	3.6125
TRAPPC12	42.3675
MRM3	10.005
PTEN	14.5025
PRNP	107.835
ADRA1D	0.235
PPP2R2C	2.52
FRMD5	4.27
AQP4	4.3075
TLN2	14.655
ZNF217	2.6025
SCG2	0.1975
ATPAF2	20.54
CYP4F22	0.0075
FOXB1	0
PPIH	13.19
C20orf196	2.56
JMJD1C	6.19
SYNPO	270.365
THOP1	21.2975
GAP43	0.27
EPHX4	0.16
LAMB2	401.03
USP19	25.5
QARS	70.205
TAC1	0.475
CDHR2	0.51
KLF11	7.435
LRRC15	0.1125
EIF2AK3	3.95
MOB3A	7.575
NME6	7.55
CD8B	0.3375
CALB2	1.385
SNCB	0.1075
SLC9C1	0.1775
FRMD3	23.1175
SNTB1	2.565
MTBP	0.4625
MALT1	3.9125
ISG20	10.295
TSG101	51.1725
MBOAT1	2.7025
ID4	3.685
GPR22	6.9475
CXCR6	0.49
CEBPB	56.6425
ATOH1	0
C5orf34	0.245
NEGR1	10.3775
DPAGT1	12.3925
BSG	1051.0625
HINFP	9.4375
OR10V1	0
CERS6	16.8375
ATP2A3	4.565
SPTLC3	1.5
B3GALT1	0.0625
OR5A1	0
POP7	20.255
ALG14	1.5725
CA12	0.5325
SUCLG2	28.34
STARD5	1.6725
CSDC2	160.83
IL16	2.8775
ABCG4	0.41
GNB2	125.475
CFAP53	0.1
MCRIP2	70.21
MGLL	38.7525
C2CD2L	7.69
GNG12	12.23
PRSS27	0.535
MYOZ2	309.11
SYNPO2	54.445
DNAJB7	0.0325
NTN4	35.535
EFCAB3	0.0125
TTC36	1.18
RSPH9	0.2775
GTPBP2	23.11
IL17D	2.5675
OR5AR1	0
FUT9	0.0075
BCS1L	25.9575
ZNF24	10.08
MANEA	1.995
AFF1	21.1
ACOT12	0.0075
FIBP	36.825
CARNS1	11.185
NUAK1	8.25
BANP	8.695
PPP1CA	57.415
HCFC1	14.31
FAM170B	0.06
CTSW	1.1425
NIPAL4	0.0325
SNTG2	0.735
FNDC9	0.055
PDE3A	39.66
ZNF263	7.5825
DPP8	10.2175
RASGRP1	0.23
KLHL6	1.325
CHCHD1	22.54
MRPL52	59.9175
SMPDL3A	2.1625
RAD9A	4.41
EFEMP2	71.9625
TMEM134	40.7325
SLC24A1	1.58
ZMAT3	4.295
ZFAND4	4.73
THEMIS	0.0675
MOS	0
CORO1B	21.9525
FUT10	1.2775
LRRC20	19.4675
ZNF532	18.945
MUS81	26.755
PURG	0.235
EFCAB12	0.365
SCARF1	10.86
FAM192A	27.5425
RAB43	1.71
FADS6	0.23
RAB37	1.1225
SNX32	0.3275
CYP7B1	1.0675
OVOL1	0.01
LMAN1	15.3675
CES4A	3.905
PDP2	1.215
KRT2	0
METAP1D	2.385
EGFL7	85.8725
HACD3	5.01
DHCR7	23.2075
LVRN	0.4375
NBEA	6.0125
MRGPRF	4.4025
OXSR1	10.0175
IPCEF1	0.3225
LCLAT1	5.75
KAT5	24.1
GXYLT2	3.6975
DCAKD	20.6375
ARPP21	0.055
ZZEF1	9.0425
CCDC96	0.3925
RELA	32.815
EVC2	1.155
FAM222B	8.245
RXFP4	0.0125
HPSE	0.415
NOX3	0.005
COQ2	9.6275
CCDC63	0.0725
LRRN3	1.875
KDM2A	15.37
ADCK5	3.905
NOC3L	2.35
RHOD	39.83
RAPH1	4.0975
ADCY5	81.5875
ABCD2	1.335
AHSA2	15.05
ABLIM3	67.26
CX3CL1	16.3925
SLC12A1	0.035
MAB21L3	0.475
VANGL1	1.97
IQCB1	3.3475
SYT12	0.2775
GOLGB1	14.3925
C11orf86	0
LIPM	0.015
GPR151	0.005
DMRT2	0.0775
MYDGF	47.6525
PLAC8L1	0.3725
GPR137	30.6
SNCG	37.065
MMRN2	26.6675
TNKS	5.1275
PPP1R3B	14.0725
ANO8	4.4425
STOX2	2.8575
MAP3K11	27.1875
TRIB1	6.2275
SFT2D3	0.0075
C1QB	74.435
C1QA	66.015
NDNF	2.1
TUBE1	9.1125
DAG1	37.99
INSM1	0.0025
NAA20	32.275
CCDC36	0.75
ARHGEF10L	23.1925
EHBP1L1	37.7125
TMEM196	0.0025
SSSCA1	29.8125
AGR3	0
PTPRM	53.605
TXK	0.315
VEGFB	156.37
PEAK1	10.6075
MST1	5.205
GMPPB	9.855
MOB1B	3.75
SNX33	8.2275
C2orf70	0.2025
NABP1	3.3525
WSCD2	0.4425
ADGRF3	0.07
XCR1	0.09
CCDC106	11.9
CCR9	0.005
CEP83	3.1
PC	6.0775
KCNQ2	0.365
SCAI	0.8125
GPRC6A	0.0075
LRFN4	7.85
TRAPPC3L	0.27
SLC19A1	2.6475
HSPB7	2917.26
RCE1	5.0475
TAS1R1	0.0275
TACR2	1.33
BCLAF3	1.73
PSMD1	34.4125
ADGRG2	0.36
MUC13	0.0175
SUSD5	1.155
HEG1	33.3425
WFIKKN2	0.1525
C1orf100	0.045
CD7	1.5825
TOPAZ1	0
CNP	19.5375
JUP	118.03
HAP1	0.16
SPATA20	33.8125
TDRD12	0.16
ENDOV	6.305
RNF213	14.365
KCNH6	0.035
MARCH10	0.1875
PLK3	5.5475
DPY19L1	5.765
SRI	40.71
PHOSPHO1	0.5025
PHC3	8.035
GPR160	0.9175
CBX2	1.6675
SPTBN2	0.79
GOLIM4	30.7875
KRT28	0
C1QTNF1	170.935
EIF4G3	12.7275
SWSAP1	0.7975
SLCO4C1	0.0725
LRRC63	0.02
TCAP	4142.25
CCS	25.8275
NUP37	5.2325
NRROS	1.8325
KLHL15	1.625
FBXO45	2.365
SPERT	0.0225
FAM46D	0
SLC25A30	43.8475
CD34	55.51
CTSF	35.85
MSRB3	32.135
SEMA3A	0.36
C16orf91	8.2925
FAM174A	18.6675
RGMB	7.25
FAM53A	0.5125
NWD2	0.0225
CYB561D1	1.83
GTSE1	0.7475
ZDHHC24	4.7
TRMT10C	7.4325
SELP	3.08
CTU2	9.3775
MGA	2.795
C12orf66	1.1375
SNX31	0.49
PRPF8	68.9625
SEMA3C	9.6325
DDX23	32.2825
ZNHIT2	4.715
EVX2	0.0025
ZBTB4	26.915
ZHX3	8.2325
PHLDA3	26.7475
SLC16A11	0.395
SLC16A13	0.795
CHRNA9	0.0025
EXO1	0.12
RALGAPA1	5.4375
ACAT1	141.8025
LIG4	2.7925
TRHR	0.0175
ABRA	28.8775
ATP2A2	832.5775
ZWILCH	0.9625
VWC2L	0.005
GRAMD4	22.1975
GALNTL6	0.2175
LINGO2	0.025
DENND4A	3.07
SLC26A9	7.98
MFSD4A	0.99
PELI3	5.9625
CACNA1G	0.26
CELSR1	3.085
TTC9B	0.095
MYO1H	0.52
TMEM81	1.6075
IL20RB	0.415
NPAS4	0.0075
WNT8B	0.025
ANGEL2	5.655
UGT8	0.13
KY	2.7825
IQCK	3.985
SLCO2A1	12.515
BRSK2	1.1575
LEP	1
SH3PXD2B	4.095
KIAA1551	4.77
NR1D2	9.6125
RPL15	396.5625
FAM241A	7.225
HRAS	65.1425
WDR49	0.32
SRP72	12.65
SLC25A40	3.7875
PCP2	1.29
CEP135	0.8175
FZD4	11.525
DENND6A	4.0825
PDE12	4.2575
TIMM21	42.4025
CATSPERD	0.0625
ADD2	0.9725
C3orf33	1.815
SEZ6L2	0.63
ASPHD1	0.805
KCTD13	7.2525
P2RY14	1.8975
AMZ1	0.16
GPR171	0.1475
GPR149	0
FGF4	0
CD164L2	0.0325
FUT1	1.2525
DHX36	10.4
FBXW8	3.2875
CA5A	0.155
KLC2	24.3125
SLC22A1	0.2375
RASAL2	9.475
CHST2	3.1
ZDHHC14	8.41
ATR	3.1825
GK5	3.9625
VCPIP1	2.125
RTP1	0
DES	10897.99
VPS9D1	8.84
SPSB4	1.85
RAG2	0.1525
TRAF6	3.6525
PACS1	29.2125
WFDC5	0
SH3BP5L	12.15
YPEL2	9.4225
CADM2	1.25
PSMD2	127.3275
PPM1E	0.19
INHBC	0.0125
PCCA	18.615
TNFRSF12A	23.22
MARK3	69.2025
NPPA	231.91
ZNF408	3.01
CKAP5	15.7775
ARHGAP1	31.165
MED16	13.9825
ATG13	22.16
GAL3ST3	1.0275
CHST1	3.3825
SLC25A3	680.0575
VWA3A	0.4425
TP53I11	30.965
DOLK	4.7075
PHYHD1	17.7225
ANKS4B	0.0975
FNDC3B	19.26
GRAMD2A	0.2475
ISX	0
TMEM9B	22.4925
NRIP3	0.3875
SCUBE2	1.57
FOSL2	55.68
SMAD2	25.065
CLTB	220.1
LPL	217.01
RFESD	1.0925
TBC1D10C	1.425
PPP2R2D	19.815
MCTP1	2.6775
OR52W1	0.015
DPP10	0.2625
CACNG4	0.0075
GPR152	0.0125
UBQLNL	0.1525
UBQLN3	0.11
LIPT2	0.865
KCNE3	1.1875
CABP4	0.7875
LONRF3	0.9
UCP3	1.145
FRYL	7.325
UCP2	15.0325
P2RY2	9.5925
SUGCT	3.0975
CCDC85B	50.05
TMEM131	8.735
TMEM70	23.01
RPS6KB2	18.45
RMI2	0.3925
TOM1L2	87.2175
GPR156	0.0225
B3GNTL1	3.1775
FSCN1	8.9325
NR2F1	2.0725
AURKAIP1	120.2625
TTLL11	2.2925
PRIMA1	3.71
MOCOS	0.3175
MSRA	12.6475
CTDNEP1	60.605
ETV4	0.6275
GAPT	0.2375
BAIAP2	14.3975
CREG2	0.375
DLX6	0.0425
PLD1	12.4075
ZDHHC21	1.6625
TSPEAR	0.3825
PLEKHF2	3.485
ARL4D	4.58
DOK7	13.56
LRRN1	0.1775
UBE2O	14.1175
ORAI3	5.09
KLHL38	25.3775
UNC119B	6.25
DENND2C	0.8525
PLEKHD1	0.065
ASCL3	0
TUBB6	127.4275
LYSMD3	6.9725
AMIGO3	0.96
B3GALT6	6.82
C11orf16	0
TMPRSS7	0.0075
JAKMIP2	0.145
TPRN	7.775
ZNF683	0.1225
CRYBG2	0.0875
DLG1	10.1375
IP6K1	10.0125
SSNA1	55.3075
CHMP6	9.6825
MC5R	0
TMEM39A	8.2175
TCP11L1	2.5675
GPX2	0.0575
CCDC57	8.485
HSF5	0.025
BNIP3	84.89
ENTHD1	0
MYPOP	7.3225
LRRTM4	2.535
ATAD5	0.1825
SMIM19	19.33
OR11H6	0
RTTN	2.67
ANAPC2	17.6025
SEC31B	3.76
SLC35G1	0.8875
ZSCAN2	2.6425
SART3	11.8725
B3GNT4	0.295
HSD11B2	0.6525
CRLF3	3.54
RNPEP	11.3375
DMRTA1	0.15
ARHGAP15	2.0575
DNAJC30	5.7225
VPS37D	1.3775
SYNE3	2.925
CLK2	18.6275
LPCAT4	40.56
SLCO3A1	32.7875
PAX2	0
DIRAS1	111.42
PHLDB3	4.9025
GNG7	17.235
USF3	2.3475
OR4C3	0
MAP3K9	0.375
EXOSC7	25.555
CNTD1	0.17
CNBD1	0
KBTBD11	2.33
B3GNT5	1.2875
MAP3K19	0.0325
LMNB2	13.425
RMDN1	23.4
HORMAD2	0
KIFAP3	13.86
MYO1D	4.6875
FOXL1	0.6275
FOXC2	2.365
BDNF	1.03
ACSF3	10.9075
BOK	5.6975
PFN4	0.385
CDK5R1	0.5675
TCERG1L	0.015
NCKAP5	0.7625
RUFY1	16.2875
MCM6	2.735
VSIG10	3.56
IRX5	8.055
METRNL	65.7325
GRIN1	0.015
PXMP2	32.2575
REXO2	106.9025
OR51T1	0
MAMSTR	1.445
C8G	0.8
EFCAB5	0.3075
GCNT4	0.1075
MUC20	3.875
SHMT1	5.64
DPP7	106.69
SEC24C	24.7625
FMR1NB	0.0275
SMCR8	2.48
MTHFR	11.7375
MTX3	1.53
FBXO46	4.56
ZDHHC13	2.885
SLC38A9	7.09
ACER2	1.495
WDR73	8.7675
POLE	5.685
FAM109B	3.165
SCN4B	6.5875
PTPN23	11.09
ZDHHC22	0
ZBTB34	1.41
ULK1	26.0325
MLH1	18.4925
RIMKLA	3.1
CLVS1	0.1725
RPS6KA3	9.725
B3GNT8	2.7925
PUS1	9.2475
SPACA4	0.065
TRIM72	0.5875
KCNA3	0.1675
GJD4	0.03
KCNA2	0.1975
TOP3A	5.05
CASKIN2	17.065
ZBTB38	21.5025
C10orf71	23.1325
LRRN4CL	2.8
TIMM22	7.3075
PPFIA3	5.14
KLHL20	8.2225
UBE2U	0.1
PAWR	4.4475
TGIF1	8.2525
MIEF2	13.1175
NIM1K	0.45
ERICH5	1.8625
RGS11	10.6025
NR2C2	6.81
OLIG3	0
CAVIN1	113.4575
RBM44	0.075
ZBED2	0
IRX3	40.8275
SLC46A1	1.8425
ST8SIA3	0.005
OR2B11	0
RABEP2	12.005
NHLH2	0
ATOX1	32.8475
FAM187B	0.1
SAMD12	1.415
PLXNA2	5.7175
JUN	73.04
PGBD5	3.6975
GBA	11.8025
ACAD9	20.1275
MBOAT4	0.0375
TEX44	0.0325
AGTRAP	16.445
NAALADL2	0.935
ANKRD13A	8.415
FAM20C	21.1525
NECTIN3	2.4525
TMEM94	37.4325
FLII	139.9975
SOX12	9.065
HNRNPA0	34.2625
YIPF7	0.43
MYOZ1	0.995
ZNF518A	1.8875
TMEM187	4.7775
SVBP	7.195
CCDC184	0.8775
ZBTB41	1.18
CAPZA3	0.015
MAMDC4	5.175
BAIAP2L1	2.39
TRAF4	2.945
IMP3	27.795
ODF3B	17.8325
C2orf73	0.01
PAG1	2.6375
DMAP1	17.44
CALHM5	0.88
ALS2CL	29.8825
MLF1	61.415
PRSS42	11.0675
NDUFAF3	128.3425
GPATCH1	3.0425
C2orf69	3.38
GRAMD1C	0.71
STAP2	3.655
TSSK6	0.56
DALRD3	13.405
ZNF518B	4.05
AMER3	0.0325
ZNF366	3.39
LCORL	1.025
PARD6G	1.65
ZC3H12D	0.2925
NT5C2	17.17
PLEC	93.685
SH2D4B	0.0075
RNF212	0.7525
PRSS36	1.3375
GALNT11	12.93
SLITRK1	0.005
MCAM	55.3425
WDR6	44.085
TMPRSS9	0.36
AQP11	0.405
TMEM11	25.0675
KCNG2	0.2325
SHISA3	6.3825
GPC4	5.165
CALML3	0
PLEKHM3	1.8575
CCDC185	0.035
FAM220A	14.96
DNAJC22	0.0875
NEUROG2	0
MBNL3	4.615
BEND3	0.445
NT5DC1	13.845
GLDC	0.025
MCMDC2	0.43
P4HTM	23.77
UCN3	0
KLHL11	1.16
CAMSAP3	0.605
AMBN	0
CA8	2.4775
CD28	0.505
EPM2AIP1	5.955
ERBB4	1.3375
MAF	6.605
CTNNBIP1	29.61
OTOS	0
ERN1	2.96
GPR35	0.9925
C10orf53	0.2075
CSRNP3	0.505
PARP10	11.715
KDM7A	3.03
XAB2	20.89
SUZ12	3.975
KCTD12	19.6125
GRINA	95.4575
THBD	15.7625
ERFE	0.56
FAM219B	30.4025
CPNE7	0.1825
RIIAD1	2.605
MPI	25.8975
OPLAH	33.4925
TMEM139	3.18
RNF186	0.0225
MSC	9.765
APOLD1	16.4125
RFLNA	0.155
DPY19L3	3.3425
NMRK2	205.12
FOXE1	0.01
PFAS	5.07
HYI	16.8725
C17orf62	20.71
GAK	15.925
ZBTB7A	14.9425
DGKD	13.14
ERICH3	0.01
RMI1	1.1625
CTC1	6.985
SNX18	5.755
EXD1	0.23
CTTNBP2	0.5425
TAS1R2	0
C14orf39	0.035
KLHDC7A	0.025
RRS1	10.2625
EXOC3L1	3.79
RCC2	9.4225
ACTL6B	0
CYC1	404.7825
PER1	66.5025
RARB	5.295
TMTC2	1.3425
FARSA	27.7125
C10orf67	0.1525
SAMD4B	47.0675
ALOXE3	0.01
EDC3	6.8775
TCAIM	8.83
TOP2B	23.805
TMEM125	0.11
CALR	313.5425
LDLRAD3	2.7875
CDH4	0.155
C2orf71	0.1475
TM9SF3	19.545
GADD45GIP1	83.3725
DAND5	3.2225
TMEM151A	0.1
PTPN11	29.015
NSUN7	0.4
CLK3	28.55
ETV1	10.5125
GATA2	12.395
ARID3B	1.19
PACS2	36.3525
EGR3	1.62
CATSPERE	0.1525
GPC5	0.4
VWA1	28.285
DNAJB8	0.0175
GEMIN4	5.43
FJX1	1.8375
KLHL28	2.275
ZBTB18	7.4975
C14orf28	2.555
ALOX12B	0
SLC17A8	0.0025
SHARPIN	52.5
PPP1R12B	123.0125
DNHD1	3.4675
SLITRK4	0.4325
HTR1D	0.04
GCC1	2.785
LSMEM2	13.335
RNF151	0.12
CIITA	3.645
ZFPM1	2.46
PLD6	3.375
DNAJC10	13.0275
GPHB5	0
GRM8	0.8675
CDC42EP4	34.665
ZBTB42	2.405
TPPP2	0.47
FCER1A	0.31
RPRML	0.185
ARL14	0
PIPOX	0.3575
FOXS1	1.675
ATOH7	0.0125
CDH5	48.5725
LRRC3B	0.03
IL4R	18.725
SERTAD2	4.805
AKAP5	0.125
GIPC3	1.38
CITED4	17.2825
C1orf194	0.11
B3GNT3	0.0125
GPBAR1	1.695
PAK3	0.1175
BBS10	2.5275
PUF60	61.3775
TSHZ1	7.5775
PSTK	1.0825
CAPN6	0.0325
ZADH2	16.1875
ZNF48	2.66
C3orf80	0.0675
NKX2-6	0.05
TMEM150B	1.26
TMEM86B	1.805
SEPT1	2.4725
TRNAU1AP	9.5675
DCX	0.02
C12orf40	0.0325
FAHD1	15.97
TDRP	1.1825
MYLPF	0.305
F2	0.05
PRKRA	28.6525
ZNRF2	3.65
RRH	0.0325
SLC9A4	1.1125
FGD6	1.4825
ADGRD2	0.02
GPR139	0
PLD5	0.055
SPAG6	0.115
OAZ2	53.6125
PNPLA1	0.045
ALX1	0.0175
CCDC43	9.2725
KCTD4	0.0025
FZD2	1.6175
TIGD2	0.365
CCDC129	0.015
EXOSC5	8.865
HCLS1	15.6725
MTURN	13.1275
ZNF609	5.2
CCDC66	3.825
MCFD2	19.9925
HARBI1	0.9275
DYNC1I2	32.865
SERTM1	0.24
GAS1	12.7575
ARHGAP45	7.3225
GLIPR1L2	1.765
MIGA1	2.435
NRIP1	2.9925
APBB1IP	2.175
BHLHA15	0.01
RNF182	0.0175
FUT7	0.17
MB21D2	0.895
GSX2	0
SSTR2	0.7725
PCGF5	22.24
SLC47A2	0.105
YOD1	1.5425
TMEM64	3.75
SHISA2	0.11
S1PR5	0.235
FAM76B	3.695
CLRN3	0.0525
GPR157	16.445
CHST13	0.4425
AGTR2	0.1075
SLC36A4	4.5725
ZDHHC20	4.4925
OR51E1	1.2725
ARSJ	0.7675
SIRT6	10.8525
BHLHE22	0.1325
MAP6D1	1.0025
GREM2	0.025
C11orf42	0.1
TYR	0.01
CAPS2	5.15
CUEDC1	32.405
SCRIB	20.4975
KCTD2	14.0725
D2HGDH	16.66
OXTR	0.16
CMTR2	2.93
FAM83H	0.3775
GPR62	0.18
POLD3	2.26
ST20	2.9825
OR52E4	0
MRPL14	28.09
GPR137C	0.395
ACTN2	946.4275
BBS12	2.23
LSMEM1	1.135
NQO1	14.08
FKRP	11.2025
TRAPPC5	120.845
CAPZB	110.69
RPH3AL	4.5975
SLC25A42	9.4975
FCRL6	0.2725
SLC26A11	3.9125
CHRM2	15.1
MAPK15	0.1825
EHMT1	18.845
ADIPOQ	6.0975
F2R	6.1075
MUC16	0.1225
PENK	0.25
C4orf50	0.065
ZNF746	4.71
POLR2A	27.2725
NAALAD2	0.47
TMEM132C	2.3375
SLC25A41	0.2
TMEM136	5.5475
TMEM102	1.07
TMEM132E	0.0425
NME9	0.5125
HEPHL1	0.005
LRRC75A	0.93
JADE1	13.445
OFCC1	0
CFAP65	0.0125
OGFOD3	18.9825
AATK	4.2
ZNF467	3.4775
SLC25A43	2.33
SOX2	0.365
RAP2B	2.18
ZBTB2	2.3525
ACBD4	6.14
SGSH	10.785
UBE2A	27.885
MAB21L2	0.1675
FANCB	0.0925
SETD2	8.4225
TMIE	0.2725
MEX3D	5.0875
FGFR1	76.4075
GPR135	0.94
P2RY13	0.3575
TNFSF15	0.075
ATG9B	1.035
GPR88	0.405
PLAG1	1.2025
YIPF6	8.9675
ZBTB20	3.4575
C3orf58	3.1675
C5orf30	1.3825
AMIGO1	5.935
TMEM252	0.9525
ODF3L2	0.14
OR5AS1	0
SMC1B	0.0175
SIAH2	12.83
OR6S1	0
SLC9A9	1.98
LSM10	42.53
RELL1	6.3375
RFX7	1.885
SLC35C1	5.23
TTC22	0.2125
FBLN1	140.1625
TIGIT	0.205
SLC2A4	47.5925
IBA57	5.0125
CLDN7	1.515
C5orf24	8.445
ADO	7.1475
OR4P4	0
ITGA8	2.4675
PRKAG1	40.405
NEUROG1	0
CCDC149	6.58
RTKN2	0.02
CHST15	2.225
CST7	2.1075
USH1G	0.0425
MGAT4C	1.1775
IDH2	541.985
TMEM259	107.155
TMEM30B	0.685
MAP2	2.395
DEXI	51.945
FAM89A	6.455
KCNIP1	0.215
TDRKH	1.665
IST1	42.96
ERCC6L2	4.555
ENPP7	0
CREB3L2	6.1925
P2RY8	1.4175
UNC5C	0.54
TSEN54	5.6975
RGMA	20.5675
UBA7	16.3175
RAD51B	0.9125
EXT1	8.81
MOB2	30.9525
HHIPL1	0.6875
BACE2	8.5675
UBE2E2	14.505
SYNM	127.32
ARAF	36.995
KCNA4	1
NLRP10	0
FIGN	1.55
TMIGD1	0
MCCC1	15.635
GLTPD2	0.295
ZNF804B	0
LAMP3	0.24
KBTBD3	1.98
YBEY	9.9375
NXPH4	0.4275
FAP	0.7675
OTOL1	0
KCNK4	0.02
TSHZ2	1.485
CAPN12	0.51
XKRX	0.0125
LHFPL1	0.1575
PHTF2	5.9525
NEBL	213.8325
FES	16.43
TBPL2	1.79
CAV3	13.35
LIMK2	7.35
MFSD5	9.79
ADI1	59.3525
ACER3	2.6275
CLEC4G	2.9325
NXPH3	3.0925
CSF1R	8.2875
EPHB3	0.7975
ACTL10	0.2675
EPGN	0.0825
UBE2K	50.195
HS3ST4	0
TRAK1	87.5775
TSPAN10	0.91
PLCB1	1.865
SKA2	11.6775
RXFP3	0.0025
CCDC172	0.065
PIK3C3	9.5975
NTM	1.86
TTC3	12.555
KCNB2	0.005
BRICD5	6.6025
TSKU	12.89
RGS6	6.8875
HOXB4	0.6275
SLC35D3	0.0025
PAQR7	1.5625
PAPPA	0.7225
MAFA	0.3075
GRID1	1.2775
TIGAR	4.6775
CCDC87	0.07
C1orf116	0.17
DDX28	2.945
ACBD3	10.015
PLCXD3	18.255
VMO1	0.805
TULP3	4.5425
LCK	1.06
GALNT9	0.1875
RBM10	17.4175
ADGRG3	1.2025
TCHHL1	0
RGS7	0.01
SYNJ2	3.9575
SLC25A18	2.6125
C11orf54	9.6775
CEP63	13.28
OTOP3	0
ODF3L1	0.2675
GJC1	5.4625
SOX1	0
CNOT10	5.755
MTA1	105.945
CADM1	12.21
PYCR1	3.2925
NAA38	84.1925
PPP2R5C	72.905
SLC25A21	0.7825
PCP4	1.6675
