GENE_NAME	human.mean
CARTPT	0
RICTOR	3.7175
PAPD4	13.0875
EBF1	2.87
UBLCP1	8.285
FAM170A	0.0425
UTP15	3.1675
GNB5	23.3275
TLR3	2.7525
KLKB1	3.0025
GFM2	11.9975
TERT	0
CCDC127	4.9875
ADGRF2	0.08
SEPT8	24.66
GDF9	0.5525
LEAP2	3.05
SLC35A1	11.495
GRIK2	0.56
FABP7	0.035
TLX3	0
TXLNB	0.1
CALHM4	0.1125
T	0
CREBRF	5.125
DCBLD1	3.33
SFXN1	34.5275
SAMD3	0.475
ITGA3	64.515
TMEM200A	4.28
IL22RA2	0
DACT2	3.8475
PDSS2	11.3275
STXBP5	1.635
IL31RA	0.05
PI16	3.415
LRP6	10.5875
TBX20	0
DAGLB	6.39
KIAA0895	4.84
STK17A	4.67
TRA2A	30.2025
GALNT10	12.3275
SAP30L	16.8875
HCN1	0.005
MYOZ3	0.4325
COG5	7.9225
GUCY2C	0.1325
NEUROD6	0
BMT2	3.0375
GPR85	0.1475
SLU7	21.6175
CAMLG	19.7025
BMPER	0.22
RELL2	3.79
KCNK5	96.725
KIF6	0.655
SLC29A4	5.0825
TEX47	0
CDCA7L	1.4975
SP8	0
MIOS	9.8925
KIAA1324L	2.5075
USP49	1.165
SYTL3	3.0325
PHRF1	11.52
IQUB	0.77
HEY1	2.68
ZNF704	7.415
SHH	3.39
FNDC1	0.4575
CHMP4C	6.805
SLC13A4	0.47
ELP1	14.425
PGAM2	9.35
BRI3	176.125
LMTK2	4.6525
CTSB	938.6
ADCY1	2.0475
SUN3	0.1275
NUCB2	40.43
C7orf57	0.0675
HNF4G	3.0275
RAD21	33.87
MED30	4.0775
TNFRSF11B	11.205
SBSPON	9.695
PHKG1	1.0875
EN2	0.0225
KCNV1	0.3925
CSMD3	0.1875
SPIDR	13.8475
ORC5	5.4825
OSGIN2	7.1925
SUN1	41.7675
OXR1	11.7775
PTPN3	33.93
TMEM74	0.0825
GPR146	6.5875
GPER1	5.5475
UNCX	0.595
NOS3	11.2375
MICALL2	5.6875
CA3	0.9225
SPTB	4.6975
SLC4A2	107.5425
TMUB1	46.7375
GBX1	0
DAPP1	0.475
FZD6	7.145
CTHRC1	1.07
TP53INP1	4.3825
INTS8	10.69
VIRMA	13.67
FGF10	0.2475
FREM1	11.2425
GEM	5.495
PDP1	7.89
TMEM67	4.4425
WASHC5	13.8675
FAM219A	7.67
C9orf24	7.0125
SNAPC3	15.0875
SLC44A1	13.4675
PSIP1	19.9925
ABCA1	2.1225
TMEM260	5.0025
FXN	9.845
ZMAT4	0.095
NKX6-3	0.0125
TMEM71	0.2825
MAMDC2	1.5125
CPA6	0.0825
C8orf34	0.585
TMC1	0.395
SMG6	19.475
KDM1B	6.3425
HGSNAT	20.1775
RASEF	5.4625
GKAP1	3.7
KIF27	4.7
C9orf64	7.295
SSMEM1	0.0175
TRPV6	4.1
EXOC5	11.8625
LLCFC1	0.0625
ANKS6	14.1875
ZHX1	14.005
CFAP47	0.02
CYBB	4.1125
MID1IP1	29.66
CLTCL1	2.3975
C9orf84	0.9275
CXorf58	0.15
KIAA1958	3.1875
PTCHD1	0.2075
RNF183	6.4375
ASB11	0.1825
PCDH19	0.0575
PIGA	3.1775
VEGFD	0.75
OR1Q1	0
FGF22	0.595
STRBP	10.7825
GAPVD1	9.46
WNK2	1.6625
ATP7A	2.5775
ZNF367	1.215
HDX	1.1125
FSTL3	19.3525
NOL6	11.255
AQP3	198.155
TRMT10B	4.865
VCP	129.9575
PIGO	15.885
STOML2	89.015
BRWD3	2.03
SLITRK5	0.075
ARMC3	0.28
OTUD1	9.155
ARHGAP12	12.22
FAT3	0.36
HECTD2	2.1975
FBXO33	5.6625
GPR101	0
CLDN2	103.5
LAMP2	84.86
LRFN5	0.2675
LRRC18	0.04
WRN	1.515
MARCH8	13.3825
TSHR	0.115
GTF2A1	8.125
ZCCHC24	5.825
MNT	10.975
PGM2L1	0.8475
PHYHIPL	15.0575
SLC16A9	43.13
INPPL1	66.3975
PHOX2A	0
GJB2	11.06
CRYL1	322.0775
REEP3	9.0225
HEPACAM	0.205
MICU2	36
DDIAS	0.12
PCF11	17.56
PKNOX2	1.795
LRR1	3.03
C10orf10	28.2375
JMJD6	18.095
ZNF22	8.36
KLHDC2	43.73
EML5	1.7675
NEMF	16.055
RPUSD4	13.2525
ARF6	39.1825
TTC8	9.9375
TMEM63C	1.28
NGB	0
NOXRED1	0.2975
POLB	10.1875
CDX2	0
AMER2	0.0225
DRGX	0
NUDT5	33.855
DACT1	1.935
OXGR1	2.6625
UCMA	0
BEND7	15.25
TAF3	3.0175
VSTM4	7.3075
VDAC2	127.8825
SOHLH1	0
SLC18A2	4.09
PDZD8	10.8375
WIPI1	51.2475
ZNF503	30.9225
QSOX2	4.2125
NSD1	6.9375
ENOX2	2.7525
CLEC1B	0.02
SNAPC4	3.705
TMEM52B	128.9125
PMPCA	37.5625
FRMPD1	2.125
FRMD7	1.545
AK8	2.45
SPACA9	7.2925
GFI1B	0.1075
FAM69B	14.785
ZMYND19	10.3925
STOX1	1.1675
GBA2	87.47
RET	0.4375
BMS1	6.1225
STK32C	8.6575
JCAD	7.7175
METTL17	29.4275
SLC39A2	0.0475
NDST1	17.5275
NDRG2	143.525
ARHGEF40	10.6025
ZNF219	13.9175
C12orf50	1.31
CASP7	13.0325
CCDC186	5.3575
ITGA2B	1.2825
VWA2	0.475
SALL2	3.5175
TRUB1	8.71
ERICH6B	0.585
ZFYVE1	12.5625
C10orf82	0.6275
HSPA12A	14.6475
AP3M2	7.6175
ANKRD2	6.3025
E2F7	0.05
ARHGAP42	2.9475
ISCA2	38.9875
OTOGL	1.135
LARGE2	17.755
PACSIN3	24.99
SLC39A13	45.4975
CNGB1	0.0275
AGBL2	0.9125
TC2N	3.67
CPSF2	9.7775
SERPINA12	0.0125
CLMN	15.3925
ST6GALNAC2	15.115
SLC6A5	0
CCDC38	0.1
NELL1	6.725
PTER	10.36
C1QL3	0.855
CACNB2	2.065
HACD1	3.445
ARL5B	2.5175
CHAT	0
KCNC2	0.11
ABTB2	8.12
R3HCC1L	4.4875
AMOTL1	4.9975
HTRA1	142.545
LIPC	8.2975
CEP57	10.34
TCP11L2	2.735
TMCO5A	0
GPR176	2.565
JAM3	8.535
IL25	0
CMTM5	0.38
ADAMTS15	4.475
SVOP	0.2225
SPATA19	0
TESK2	1.4775
GPT2	47.685
AMN	212.27
RAB8B	7.72
IKBIP	4.0075
PPP1R14D	4.75
FBN1	7.61
CFAP20	19.6075
AVPR1A	2.775
LRTM2	0
TRMT61A	8.185
BTRC	5.72
POLL	17.46
DPCD	32.1
LARP6	30.445
API5	29.49
ASPG	24.465
ALKBH3	14.03
COPS2	21.0925
GABRB3	5.6275
TBATA	1.4825
SGPL1	15.2975
FRS2	4.1825
CCT2	64.0175
PCBD1	155.1525
ARIH1	30.035
C16orf71	0.8325
CLMP	3.5375
SCN3B	0.66
STPG1	5.45
ASB4	0.42
ZNF202	2.7275
FAM227B	4.6525
CUL5	10.4775
CAMK2A	1.05
PLEKHF1	3.2725
TMEM100	1.97
SMPD1	125.335
APBB1	41.43
SYNPO2L	0.2025
NUDT13	2.6525
C11orf65	1.0825
TRIM44	26.465
CCDC182	0.02
ILK	111.52
TPP1	74.665
DCHS1	2.3675
NETO1	0.05
USP54	6.905
RAG1	0.9175
C11orf74	12.6475
WDR88	0.1175
ATP9B	17.415
PPFIBP2	26.105
CYB5R2	3.9925
SERPINB7	0.19
KIAA0355	8.7125
SERPINB8	2.535
TUB	8.915
RIC3	6.5575
OSBPL3	7.2
WDR72	43.335
CRABP1	16.53
PLD4	2.0275
TRIM66	1.875
RNF169	3.24
EPHA8	0.02
CDYL2	3.1025
TMEM130	2.545
PRTG	0.885
CENPN	3.2575
AKIP1	14.8175
C16orf46	1.1325
TMEM41B	9.35
LEO1	9.3025
SLC12A3	144.03
ZNF143	7.11
TMX3	11.8975
WEE1	6.1675
PRKCB	1.04
HDGFL3	9.855
MCM7	19.6975
